Sitename,Labcode,Longitude,Latitude,Yrs BP,STD
Angamma,Hv3803,17.67,17.57,5525,170
Angamma,Hv2890b,17.67,17.57,5865,65
Angamma,Hv2890,17.67,17.57,4505,65
Angamma,Gif1264,17.67,17.57,6050,150
Angamma,df282,17.67,17.57,10160,160
Anisaman,210Gif?,7.67,17.08,230,80
Aoulaoualt Taoulaoualt,Gif3517,7.42,18.83,4150,110
Aozerkat,ParisVIb,4.4,17.2,4585,120
Arawan,UQ1021,-3.47,18.9,8800,200
Arawan nord,UQ1043,-3.58,19,4800,100
Arbre Tenere 122 km NE,Hv11442,10.92,18.42,10015,1200
Arbre Tenere 27 km NE,x209,10.52,18.33,3300,200
Areicht 24,Gif6892,-15.58,18.5,5080,170
Areschima,TIWL,10.05,18.2,4470,115
Areschima,Pa1108,10.05,18.2,3540,200
Areschima,Pa1107,10.05,18.2,4405,200
Areschima,Pa1106,10.05,18.2,3560,250
Areschima,Pa1105,10.05,18.2,4300,150
Areschima,Pa1089,10.05,18.2,6230,200
Areschima,Pa0240,10.05,18.2,3305,90
Areschima,Gif3639,10.05,18.2,3180,100
Areschima,208ParisVI,10.05,18.2,4480,80
Arichel Metane,Gif8618,2.43,32.12,5060,70
Arichel Metane,Gif8617,2.43,32.12,7940,70
Arichel Metane,Gif8615,2.43,32.12,5560,70
Arlit,Gif3057,7.38,18.73,5380,130
Arlit,Gif2937,7.38,18.73,4040,110
Arlit,Gif2289,7.38,18.73,4530,110
Arlit 1,Gif3518,7.38,18.73,4840,130
Arlit 2,Gif3519,7.38,18.73,4960,130
Arlit 2,Gif2933,7.38,18.73,4650,130
Arlit 2,Gif1725,7.38,18.73,5200,140
Arlit 3,Gif2934,7.38,18.73,5240,140
Arlit 4,Gif2935,7.38,18.73,2290,110
Arlit 4,Gif2159,7.38,18.73,5030,140
Arlit 4,Gif3521,7.38,18.73,4950,150
Arlit Jackal,Gif2160,7.38,18.73,5100,140
Arlit Somair 2,Gif1797,7.38,18.73,2640,100
Arlit Somair 4,Gif1798,7.38,18.73,4030,110
AschechI,Mc528,4.58,31.13,6470,110
Ashech G2,ALG55,4.57,21.12,5125,140
Ashech III,Mc913,4.57,21.12,7200,120
Ashech III,ALG32,4.57,21.12,5300,100
Assabetel Meddahia,Gif5323,-11.83,22.13,2500,100
Assabetel Meddahia,Gif5322,-11.83,22.13,2590,100
Assaqarou,Gif3924,6.7,17.47,3350,100
Atrun,x342,26.75,18.17,9880,100
Atrun,x341,26.75,18.17,9300,100
Atrun,x340,26.75,18.17,9290,125
Atrun,x339,26.75,18.17,9180,220
Atrun,x338,26.75,18.17,9110,175
Atrun,x337,26.75,18.17,9090,80
Atrun,x336,26.75,18.17,8060,70
Atrun,x335,26.75,18.17,7370,80
Atrun,x334,26.75,18.17,7280,225
Atrun,x333,26.75,18.17,7190,65
Atrun,x332,26.75,18.17,7175,90
Atrun,x331,26.75,18.17,7020,65
Atrun,x330,26.75,18.17,6755,85
Atrun,x329,26.75,18.17,6725,105
Atrun,x328,26.75,18.17,6550,105
Atrun,x327,26.75,18.17,6455,65
Atrun,x326,26.75,18.17,6280,60
Atrun,x325,26.75,18.17,5785,170
Atrun,x324,26.75,18.17,5340,80
Atrun,x323,26.75,18.17,4515,60
Atrun,x322,26.75,18.17,3230,130
Atrun,x321,26.75,18.17,2705,70
Atrun,x320,26.75,18.17,6750,295
Atrun,x319,26.75,18.17,3685,70
Aueital,Gif3259,-13.48,26.83,2000,90
AwladelImam,T6655,32.6,15.9,7750,90
